Country,Individuals using the Internet (% of population),"Life expectancy at birth, female (years)",GDP per capita (constant LCU),Urban population,GDP per capita (constant 2010 US$),People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),Fixed broadband subscriptions,"Birth rate, crude (per 1,000 people)",Access to electricity (% of population),"Fertility rate, total (births per woman)","Incidence of tuberculosis (per 100,000 people)",Urban population (% of total population),Urban population growth (annual %),Happiness Score
Sudan,26.61,66.198,783.1256396,13185766,1869.552756,58.95025341,35.06823583,27683,33.318,49.26267624,4.594,88,33.894,3.013878047,4.55
Suriname,42.76382778,74.584,17623.39867,369348,8464.653142,94.43903834,83.82623292,52691,19.292,95.11044312,2.494,32,66.056,1.005449279,6.269
Sweden,90.6102,84.1,433527.1317,8481489,56139.49489,100.0000025,99.3002379,3496240,11.7,100,1.85,9.2,86.553,1.411616216,7.364
Switzerland,87.4790556,85.1,78993.80807,6105617,76553.31796,99.99999707,99.89097323,3700563,10.5,100,1.54,7.4,73.718,1.168186391,7.587
Tajikistan,18.98,72.507,647.5280896,2260776,935.9998251,78.06478717,96.12746211,6000,32.115,99.65236664,3.623,86,26.742,2.734485215,4.786
Tanzania,20,65.127,1887706.131,16277264,871.9983686,52.97908772,26.86948427,106000,37.866,26.57386971,5.079,306,31.617,5.283475102,3.781
Thailand,39.31612674,79.863,138564.7349,32772699,5741.339664,99.290216,97.95530764,6229000,10.836,99.6,1.538,163,47.694,1.989301576,6.455
Togo,7.12,60.706,273203.0362,2936586,630.3045049,62.91055143,15.29687902,66072,34.51,45.18544388,4.516,52,40.1,3.868692951,2.839
Trinidad and Tobago,69.19847061,75.659,124680.7334,730645,16840.1208,98.18496206,93.39890595,278522,14.007,100,1.767,16,53.319,0.408280545,6.168
Tunisia,46.5,77.99,6167.066084,7608626,4308.415596,95.7265506,90.29608163,573977,18.707,100,2.251,38,68.056,1.467922801,4.739
Turkey,53.74497914,79.522,19454.17933,57806283,13853.09713,98.8972223,97.19435746,9504594,16.718,100,2.101,18,73.611,2.394129797,5.332
Turkmenistan,14.99677482,71.168,8671.16199,2800285,6693.932002,98.22229508,97.84790087,3000,26.005,100,2.93,49,50.317,2.584238851,5.548
Uganda,17.83485947,63.303,1393806.512,8432535,686.9827784,46.23822499,18.42463657,80724,40.68,18.5,5.394,202,22.06,6.048798778,3.931
Ukraine,48.88464368,76.25,22448.9029,31183824,2828.88539,93.6569049,96.21733034,4978813,10.7,100,1.506,91,69.061,-0.126050019,4.681
United Arab Emirates,90.5,78.678,147809.8514,7935897,40247.74714,96.76946055,98.57778247,1234447,10.772,100,1.541,0.78,85.674,0.877018808,6.901
United Kingdom,92.0003,82.8,29432.35872,53813373,42008.98523,99.99999851,99.11255894,24686486,11.9,100,1.8,10,82.626,1.111350083,6.867
United States,74.55420245,81.2,56803.47243,261953748,52099.26976,99.25836288,99.96960722,102212000,12.4,100,1.8435,3.2,81.671,0.967792647,7.119
Uruguay,64.5707871,80.992,196443.7935,3242944,13938.79007,99.17877598,96.20479894,900933,14.134,99.70948,1.997,30,95.045,0.445091708,6.485
Uzbekistan,42.8,73.145,3392118.815,15884192,2138.56496,97.52857828,100,1787786,23.5,99.9980545,2.491,79,50.75,1.547412369,6.003
Vietnam,45,79.226,31030931.53,31333193,1667.171891,93.19886854,80.08031187,7657619,17.259,100,2.014,199,33.809,3.118032644,5.36
Zambia,21,64.297,7872.067396,6654564,1641.005482,58.68752037,25.97825783,23390,37.95,31.1,4.918,391,41.907,4.327561352,5.129
Zimbabwe,22.7428181,60.984,1316.598339,4473868,1234.103352,64.98583102,37.56810685,163987,33.981,33.7,3.896,242,32.385,1.297036445,4.61
